CNTYFIPS,State,Year,TotalCaseCounts,TotalSolvedCounts
"Abbeville, SC",South Carolina,1977,2,1
"Abbeville, SC",South Carolina,1978,2,2
"Abbeville, SC",South Carolina,1979,3,3
"Abbeville, SC",South Carolina,1980,2,2
"Abbeville, SC",South Carolina,1982,2,2
"Abbeville, SC",South Carolina,1983,3,3
"Abbeville, SC",South Carolina,1984,1,1
"Abbeville, SC",South Carolina,1985,1,1
"Abbeville, SC",South Carolina,1986,3,3
"Abbeville, SC",South Carolina,1987,6,6
"Abbeville, SC",South Carolina,1989,1,1
"Abbeville, SC",South Carolina,1990,4,4
"Abbeville, SC",South Carolina,1991,2,2
"Abbeville, SC",South Carolina,1994,1,1
"Abbeville, SC",South Carolina,1995,3,3
"Abbeville, SC",South Carolina,1996,2,1
"Abbeville, SC",South Carolina,1998,3,3
"Abbeville, SC",South Carolina,1999,4,3
"Abbeville, SC",South Carolina,2000,2,1
"Abbeville, SC",South Carolina,2001,3,3
"Abbeville, SC",South Carolina,2003,2,2
"Abbeville, SC",South Carolina,2004,1,1
"Abbeville, SC",South Carolina,2005,2,2
"Abbeville, SC",South Carolina,2006,3,3
"Abbeville, SC",South Carolina,2007,1,1
"Abbeville, SC",South Carolina,2008,1,1
"Abbeville, SC",South Carolina,2011,1,1
"Abbeville, SC",South Carolina,2013,4,3
"Abbeville, SC",South Carolina,2014,1,1
"Abbeville, SC",South Carolina,2015,3,3
"Abbeville, SC",South Carolina,2016,1,1
"Abbeville, SC",South Carolina,2018,1,1
"Abbeville, SC",South Carolina,2019,11,11
"Acadia, LA",Louisiana,1977,5,5
"Acadia, LA",Louisiana,1978,3,3
"Acadia, LA",Louisiana,1979,3,3
"Acadia, LA",Louisiana,1980,2,2
"Acadia, LA",Louisiana,1981,7,7
"Acadia, LA",Louisiana,1982,5,5
"Acadia, LA",Louisiana,1983,5,5
"Acadia, LA",Louisiana,1984,1,1
"Acadia, LA",Louisiana,1985,2,2
"Acadia, LA",Louisiana,1986,4,4
"Acadia, LA",Louisiana,1987,6,6
"Acadia, LA",Louisiana,1988,1,1
"Acadia, LA",Louisiana,1989,1,1
"Acadia, LA",Louisiana,1990,8,7
"Acadia, LA",Louisiana,1991,3,3
"Acadia, LA",Louisiana,1992,3,3
"Acadia, LA",Louisiana,1993,1,1
"Acadia, LA",Louisiana,1995,1,1
"Acadia, LA",Louisiana,1997,8,5
"Acadia, LA",Louisiana,1998,2,2
"Acadia, LA",Louisiana,1999,4,2
"Acadia, LA",Louisiana,2000,2,2
"Acadia, LA",Louisiana,2002,1,1
"Acadia, LA",Louisiana,2003,4,3
"Acadia, LA",Louisiana,2006,3,3
"Acadia, LA",Louisiana,2009,4,2
"Acadia, LA",Louisiana,2010,1,1
"Acadia, LA",Louisiana,2011,3,3
"Acadia, LA",Louisiana,2012,8,6
"Acadia, LA",Louisiana,2013,3,3
"Acadia, LA",Louisiana,2015,7,4
"Acadia, LA",Louisiana,2016,11,8
"Acadia, LA",Louisiana,2017,7,3
"Acadia, LA",Louisiana,2018,8,6
"Acadia, LA",Louisiana,2019,6,4
"Accomack, VA",Virginia,1976,8,8
"Accomack, VA",Virginia,1977,3,3
"Accomack, VA",Virginia,1978,3,3
"Accomack, VA",Virginia,1979,4,3
"Accomack, VA",Virginia,1980,2,2
"Accomack, VA",Virginia,1981,4,4
"Accomack, VA",Virginia,1982,3,3
"Accomack, VA",Virginia,1984,1,1
"Accomack, VA",Virginia,1985,2,2
"Accomack, VA",Virginia,1986,1,1
"Accomack, VA",Virginia,1987,2,2
"Accomack, VA",Virginia,1988,2,2
"Accomack, VA",Virginia,1989,2,2
"Accomack, VA",Virginia,1990,4,4
"Accomack, VA",Virginia,1991,3,3
"Accomack, VA",Virginia,1992,3,3
"Accomack, VA",Virginia,1993,1,1
"Accomack, VA",Virginia,1994,2,1
"Accomack, VA",Virginia,1997,1,1
"Accomack, VA",Virginia,1998,2,1
"Accomack, VA",Virginia,1999,2,2
"Accomack, VA",Virginia,2001,3,2
"Accomack, VA",Virginia,2002,1,1
"Accomack, VA",Virginia,2003,1,1
"Accomack, VA",Virginia,2004,1,1
"Accomack, VA",Virginia,2005,2,2
"Accomack, VA",Virginia,2006,5,5
"Accomack, VA",Virginia,2007,5,4
"Accomack, VA",Virginia,2008,3,3
"Accomack, VA",Virginia,2009,2,2
"Accomack, VA",Virginia,2010,2,1
"Accomack, VA",Virginia,2011,6,6
"Accomack, VA",Virginia,2012,2,1
"Accomack, VA",Virginia,2013,3,2
"Accomack, VA",Virginia,2014,4,2
"Accomack, VA",Virginia,2015,5,4
"Accomack, VA",Virginia,2016,5,4
"Accomack, VA",Virginia,2017,3,3
"Accomack, VA",Virginia,2019,9,1
"Ada, ID",Idaho,1976,10,9
"Ada, ID",Idaho,1977,9,7
"Ada, ID",Idaho,1978,3,3
"Ada, ID",Idaho,1979,8,6
"Ada, ID",Idaho,1980,7,6
"Ada, ID",Idaho,1981,7,7
"Ada, ID",Idaho,1982,5,4
"Ada, ID",Idaho,1983,4,4
"Ada, ID",Idaho,1984,5,3
"Ada, ID",Idaho,1985,7,6
"Ada, ID",Idaho,1986,5,4
"Ada, ID",Idaho,1987,9,8
"Ada, ID",Idaho,1988,7,5
"Ada, ID",Idaho,1989,1,1
"Ada, ID",Idaho,1990,8,6
"Ada, ID",Idaho,1991,3,2
"Ada, ID",Idaho,1992,8,8
"Ada, ID",Idaho,1993,4,4
"Ada, ID",Idaho,1994,6,6
"Ada, ID",Idaho,1995,6,6
"Ada, ID",Idaho,1996,7,7
"Ada, ID",Idaho,1997,13,12
"Ada, ID",Idaho,1998,7,6
"Ada, ID",Idaho,1999,4,3
"Ada, ID",Idaho,2000,3,2
"Ada, ID",Idaho,2001,4,4
"Ada, ID",Idaho,2002,6,5
"Ada, ID",Idaho,2003,9,8
"Ada, ID",Idaho,2004,1,1
"Ada, ID",Idaho,2005,7,7
"Ada, ID",Idaho,2006,8,8
"Ada, ID",Idaho,2007,14,13
"Ada, ID",Idaho,2008,4,4
"Ada, ID",Idaho,2009,7,7
"Ada, ID",Idaho,2010,7,7
"Ada, ID",Idaho,2011,6,6
"Ada, ID",Idaho,2012,2,2
"Ada, ID",Idaho,2013,4,4
"Ada, ID",Idaho,2014,6,5
"Ada, ID",Idaho,2015,5,5
"Ada, ID",Idaho,2016,8,8
"Ada, ID",Idaho,2017,5,5
"Ada, ID",Idaho,2018,4,4
"Ada, ID",Idaho,2019,11,11
"Adair, IA",Iowa,2001,1,1
"Adair, IA",Iowa,2003,1,1
"Adair, KY",Kentucky,1976,3,3
"Adair, KY",Kentucky,1977,1,1
"Adair, KY",Kentucky,1982,2,1
"Adair, KY",Kentucky,1984,2,2
"Adair, KY",Kentucky,1985,1,1
"Adair, KY",Kentucky,1986,1,1
"Adair, KY",Kentucky,1989,3,2
"Adair, KY",Kentucky,1991,2,2
"Adair, KY",Kentucky,1992,2,2
"Adair, KY",Kentucky,1993,4,1
"Adair, KY",Kentucky,1997,1,1
"Adair, KY",Kentucky,2009,8,7
"Adair, KY",Kentucky,2010,6,6
"Adair, KY",Kentucky,2011,6,5
"Adair, KY",Kentucky,2012,9,9
"Adair, KY",Kentucky,2013,7,7
"Adair, KY",Kentucky,2014,4,4
"Adair, KY",Kentucky,2015,3,3
"Adair, KY",Kentucky,2016,9,9
"Adair, KY",Kentucky,2017,4,4
"Adair, KY",Kentucky,2018,3,3
"Adair, KY",Kentucky,2019,4,4
"Adair, MO",Missouri,1977,1,1
"Adair, MO",Missouri,1979,2,2
"Adair, MO",Missouri,1982,2,2
"Adair, MO",Missouri,1983,3,3
"Adair, MO",Missouri,1988,1,1
"Adair, MO",Missouri,2002,1,1
"Adair, MO",Missouri,2003,1,1
"Adair, MO",Missouri,2006,3,3
"Adair, MO",Missouri,2010,1,1
"Adair, MO",Missouri,2013,1,1
"Adair, MO",Missouri,2014,1,1
"Adair, MO",Missouri,2016,1,1
"Adair, MO",Missouri,2017,1,1
"Adair, MO",Missouri,2019,2,2
"Adair, OK",Oklahoma,1976,1,1
"Adair, OK",Oklahoma,1977,2,2
"Adair, OK",Oklahoma,1981,2,2
"Adair, OK",Oklahoma,1984,1,1
"Adair, OK",Oklahoma,1985,2,2
"Adair, OK",Oklahoma,1986,1,1
"Adair, OK",Oklahoma,1987,4,3
"Adair, OK",Oklahoma,1988,2,2
"Adair, OK",Oklahoma,1989,2,2
"Adair, OK",Oklahoma,1990,2,2
"Adair, OK",Oklahoma,1994,2,2
"Adair, OK",Oklahoma,1995,3,2
"Adair, OK",Oklahoma,1996,3,2
"Adair, OK",Oklahoma,1997,2,2
"Adair, OK",Oklahoma,1998,1,1
"Adair, OK",Oklahoma,1999,4,2
"Adair, OK",Oklahoma,2000,4,3
"Adair, OK",Oklahoma,2001,2,2
"Adair, OK",Oklahoma,2002,2,1
"Adair, OK",Oklahoma,2003,1,1
"Adair, OK",Oklahoma,2004,1,1
"Adair, OK",Oklahoma,2006,1,1
"Adair, OK",Oklahoma,2007,1,1
"Adair, OK",Oklahoma,2008,4,3
"Adair, OK",Oklahoma,2009,2,2
"Adair, OK",Oklahoma,2010,1,1
"Adair, OK",Oklahoma,2011,4,4
"Adair, OK",Oklahoma,2015,1,1
"Adair, OK",Oklahoma,2016,2,2
"Adair, OK",Oklahoma,2017,2,2
"Adair, OK",Oklahoma,2019,1,1
"Adams, CO",Colorado,1976,10,6
"Adams, CO",Colorado,1977,3,3
"Adams, CO",Colorado,1978,9,9
"Adams, CO",Colorado,1979,9,7
"Adams, CO",Colorado,1980,12,7
"Adams, CO",Colorado,1981,14,11
"Adams, CO",Colorado,1982,14,12
"Adams, CO",Colorado,1983,14,11
"Adams, CO",Colorado,1984,11,7
"Adams, CO",Colorado,1985,12,9
"Adams, CO",Colorado,1986,17,13
"Adams, CO",Colorado,1987,14,12
"Adams, CO",Colorado,1988,19,16
"Adams, CO",Colorado,1989,5,4
"Adams, CO",Colorado,1990,13,13
"Adams, CO",Colorado,1991,11,9
"Adams, CO",Colorado,1992,19,14
"Adams, CO",Colorado,1993,16,11
"Adams, CO",Colorado,1994,8,8
"Adams, CO",Colorado,1995,5,5
"Adams, CO",Colorado,1996,10,10
"Adams, CO",Colorado,1997,7,6
"Adams, CO",Colorado,1998,14,13
"Adams, CO",Colorado,1999,20,15
"Adams, CO",Colorado,2000,9,6
"Adams, CO",Colorado,2001,10,9
"Adams, CO",Colorado,2002,13,12
"Adams, CO",Colorado,2003,16,12
"Adams, CO",Colorado,2004,21,17
"Adams, CO",Colorado,2005,12,8
"Adams, CO",Colorado,2006,19,16
"Adams, CO",Colorado,2007,10,10
"Adams, CO",Colorado,2008,14,14
"Adams, CO",Colorado,2009,14,12
"Adams, CO",Colorado,2010,9,8
"Adams, CO",Colorado,2011,7,6
"Adams, CO",Colorado,2012,21,17
"Adams, CO",Colorado,2013,15,13
"Adams, CO",Colorado,2014,19,17
"Adams, CO",Colorado,2015,11,11
"Adams, CO",Colorado,2016,25,22
"Adams, CO",Colorado,2017,27,25
"Adams, CO",Colorado,2018,30,30
"Adams, CO",Colorado,2019,33,29
"Adams, IA",Iowa,1998,1,1
"Adams, IA",Iowa,2001,1,1
"Adams, IA",Iowa,2010,2,2
"Adams, IA",Iowa,2015,1,1
"Adams, ID",Idaho,1976,2,1
